BookingID	Travel Type	Class	Seat Number	PassengerID	FlightID
23899	Business travel	Eco	30	19556	56318
22458	Business travel	Business	396	90035	26056
21058	Business travel	Eco	342	12360	32937
26871	Business travel	Business	72	77959	86854
24676	Business travel	Eco	18	36875	47744
17740	Business travel	Eco	18	39177	13202
15017	Business travel	Business	72	79433	90592
20553	Business travel	Business	18	97286	121218
12649	Business travel	Eco	36	27508	25057
12632	Business travel	Business	18	62482	106603
12639	Business travel	Eco	3128	47583	60935
12718	Business travel	Business	2720	115550	102825
20910	Business travel	Business	2992	119987	58040
14766	Business travel	Business	18	42141	128332
27335	Business travel	Business	851	2274	63328
29450	Personal Travel	Eco	2898	22470	81013
13773	Business travel	Eco	1110	124915	99258
17084	Personal Travel	Eco Plus	3261	17836	103892
12510	Personal Travel	Eco	814	76872	126334
14959	Business travel	Business	2772	64287	68816
24095	Business travel	Business	3600	63995	87685
16439	Personal Travel	Eco	925	75855	22605
14689	Personal Travel	Eco	3492	106181	89733
27772	Business travel	Business	1036	44304	26938
20827	Business travel	Eco	962	82602	114454
14135	Personal Travel	Eco	1036	7823	69469
13531	Business travel	Business	3186	127781	44624
14144	Business travel	Eco	1887	34501	121594
22800	Business travel	Business	3060	121658	2219
19320	Business travel	Eco	1998	20219	116578
14923	Personal Travel	Business	999	67551	27051
19076	Business travel	Eco	962	48994	60288
14845	Business travel	Eco	3654	70811	76539
21080	Personal Travel	Eco	3222	75241	115829
19295	Business travel	Eco	3042	12312	36862
15651	Personal Travel	Eco	3042	48372	114846
23973	Business travel	Business	962	51477	123983
21132	Business travel	Business	3654	84204	108170
16596	Business travel	Business	396	70990	60398
14152	Personal Travel	Eco	999	101991	110947
27807	Business travel	Business	414	87447	100716
22511	Business travel	Eco	432	16112	4547
22484	Business travel	Business	925	16172	46946
24153	Business travel	Business	412	106558	105570
25539	Business travel	Eco Plus	414	11536	42884
23756	Business travel	Eco	888	47773	86216
22377	Business travel	Business	378	70521	52611
21081	Personal Travel	Eco	999	96283	65130
12631	Business travel	Business	925	117993	128361
12552	Personal Travel	Eco	2760	74703	23883
24952	Personal Travel	Eco Plus	342	110840	2768
17752	Business travel	Business	925	88249	28517
21862	Business travel	Eco	2640	125877	26972
19310	Business travel	Eco	2580	83968	71509
25574	Business travel	Business	925	122719	37597
23958	Business travel	Business	2790	3949	19821
19174	Business travel	Business	925	45542	105071
24124	Personal Travel	Eco	2640	43742	28638
22814	Personal Travel	Eco	396	122093	27235
12830	Business travel	Eco	2370	121454	58726
28384	Business travel	Business	925	738	52910
13812	Personal Travel	Eco	703	75235	72724
27926	Personal Travel	Eco	396	88653	123170
24116	Business travel	Eco	468	26594	125851
19426	Business travel	Business	2490	38339	26828
21522	Personal Travel	Eco Plus	2340	46063	127124
14971	Business travel	Business	2490	27957	73741
13768	Personal Travel	Eco	399	17270	67156
18132	Business travel	Business	2760	87976	77892
12866	Business travel	Business	629	31640	105032
25476	Personal Travel	Business	962	41461	121945
21357	Business travel	Business	2550	15143	27970
12254	Personal Travel	Business	486	78136	21959
12557	Business travel	Business	2992	120433	114762
20883	Business travel	Eco Plus	2856	41440	87424
11420	Personal Travel	Eco	2720	15963	76524
23084	Business travel	Eco	104	64303	16795
16424	Personal Travel	Eco	18	3608	113067
23919	Business travel	Eco Plus	37	7744	31637
27477	Business travel	Eco	324	21276	21700
22583	Business travel	Business	342	58576	38499
13232	Personal Travel	Eco	360	53888	35333
13577	Business travel	Business	378	10980	50689
19016	Business travel	Business	414	54151	56673
26947	Business travel	Eco	414	115641	108074
29045	Personal Travel	Business	396	58584	8531
15419	Business travel	Eco	360	50472	46863
23436	Business travel	Business	378	102623	11497
11500	Personal Travel	Eco	396	31533	87247
12873	Business travel	Eco	324	42287	107813
20940	Business travel	Business	414	70467	96853
24578	Business travel	Eco	119	20461	96371
14254	Business travel	Business	888	113346	30105
27398	Business travel	Eco	2640	115566	31888
29235	Business travel	Business	925	119896	89527
16485	Personal Travel	Eco Plus	2790	88853	54518
22445	Personal Travel	Eco	2670	24895	32471
16635	Business travel	Business	2550	31122	72417
27290	Personal Travel	Eco	851	91231	60413
27958	Business travel	Business	999	61426	74670
20045	Business travel	Eco	999	68873	50150
28443	Personal Travel	Eco	414	125701	13869
22827	Personal Travel	Eco	2700	94999	14619
27323	Personal Travel	Eco	396	56694	28647
11406	Business travel	Business	396	62010	78862
20962	Business travel	Business	777	95868	22141
15650	Business travel	Business	342	123064	22389
17187	Personal Travel	Eco	925	103418	13264
22188	Personal Travel	Eco	378	73456	101945
13727	Business travel	Business	888	8851	14674
13732	Business travel	Eco	2790	64241	46658
14779	Business travel	Eco	814	81723	41549
22962	Business travel	Business	270	88237	72041
15163	Personal Travel	Eco	703	50619	16376
14453	Personal Travel	Eco Plus	360	54444	53636
12840	Business travel	Eco	306	64765	92146
23485	Business travel	Eco	414	15941	98098
27601	Business travel	Business	2550	14965	62608
23077	Personal Travel	Eco	2490	36897	92068
25867	Business travel	Business	396	127954	128344
14007	Business travel	Eco Plus	999	27872	126805
18801	Business travel	Business	2760	35854	89201
11778	Business travel	Eco	2670	14527	53906
15331	Personal Travel	Business	396	47021	98870
15994	Personal Travel	Eco	2790	11224	17823
12559	Personal Travel	Eco	962	3921	42389
12041	Personal Travel	Eco	468	69463	50040
28694	Business travel	Business	2190	47050	90432
28674	Business travel	Business	38	21970	51844
11241	Business travel	Business	36	30046	106540
28787	Personal Travel	Eco	74	1256	122966
18726	Personal Travel	Eco Plus	37	73813	116084
13461	Personal Travel	Eco	18	110928	121007
12374	Business travel	Business	18	102981	109424
24037	Business travel	Business	36	61571	74202
23062	Business travel	Eco Plus	18	3796	10714
29333	Business travel	Business	54	73906	96396
25860	Business travel	Business	3382	74090	87097
17204	Personal Travel	Eco	3726	76645	60609
11537	Business travel	Business	3363	100462	103031
19058	Business travel	Eco	3546	54164	119035
28264	Business travel	Business	851	6147	76168
24732	Personal Travel	Eco	3344	1262	46746
27145	Business travel	Business	3059	20310	7529
16536	Business travel	Business	3492	46896	41388
22091	Business travel	Business	1887	7237	45576
22003	Business travel	Eco	1147	44293	8880
18647	Business travel	Business	1887	52496	18067
19204	Personal Travel	Eco	3294	68263	67112
25383	Personal Travel	Eco	3154	5289	26221
19959	Business travel	Business	210	109359	100165
28800	Personal Travel	Eco	3582	94988	44678
27570	Business travel	Eco	3211	53605	24550
17269	Business travel	Eco	3168	11005	126523
16936	Business travel	Eco	65	14794	111072
20919	Business travel	Business	1924	49480	43785
23948	Business travel	Eco	3230	120440	23059
25958	Business travel	Business	65	55823	29237
25689	Business travel	Business	1739	107792	105307
15446	Business travel	Business	3132	80531	67984
14399	Business travel	Business	1924	128145	35811
21505	Personal Travel	Eco	65	63370	47700
22897	Personal Travel	Eco	3363	12452	34661
19334	Business travel	Eco	3258	16145	84159
25928	Business travel	Eco Plus	2988	44418	59477
11210	Business travel	Business	3240	95746	65172
11473	Business travel	Eco	2907	41134	82271
14250	Personal Travel	Eco Plus	1998	3214	104927
13135	Business travel	Business	2831	74101	124028
14350	Business travel	Eco	814	106220	58927
22969	Business travel	Business	2916	88134	78830
24000	Business travel	Business	1480	64475	23853
28704	Business travel	Business	3096	123812	38259
16983	Business travel	Business	3287	88893	81111
19560	Business travel	Business	3306	31244	123930
12956	Personal Travel	Eco	1998	97762	15397
27069	Business travel	Business	962	59851	18622
18202	Personal Travel	Eco	65	25137	39982
11331	Personal Travel	Eco	3528	18412	61520
15501	Business travel	Eco	2035	87192	123265
21957	Business travel	Business	65	127062	93748
21622	Personal Travel	Eco	1850	112169	117084
28260	Business travel	Business	3240	127798	49794
12008	Personal Travel	Eco	1850	91778	96862
27269	Business travel	Business	3600	42609	9331
13630	Personal Travel	Eco	3344	67482	74494
14348	Personal Travel	Eco	3325	91108	71842
13945	Business travel	Business	3690	102318	119545
15557	Business travel	Eco Plus	2204	51281	127040
14599	Personal Travel	Eco	2035	6528	74690
25604	Business travel	Business	3895	121232	50420
23410	Business travel	Business	3382	72478	91914
18604	Business travel	Eco	1554	122788	18044
11683	Business travel	Business	3834	5528	63073
17293	Personal Travel	Eco	1887	107726	43084
13190	Personal Travel	Eco	3078	72606	81067
20982	Business travel	Eco	1221	75522	76544
18013	Business travel	Business	3249	125687	56227
15665	Business travel	Business	3384	79908	9120
24693	Business travel	Business	3135	117345	123074
12618	Personal Travel	Eco	3276	73465	98278
19093	Business travel	Business	3672	95851	3172
25062	Business travel	Eco	2035	44992	31729
21319	Personal Travel	Eco	2035	70631	89794
11779	Business travel	Eco Plus	2220	13761	31356
13851	Personal Travel	Eco	3672	74968	53221
27002	Business travel	Business	3382	12371	63731
12899	Business travel	Business	1850	8378	121205
28183	Business travel	Eco	3762	82080	57252
11766	Business travel	Business	3672	107972	73560
21234	Business travel	Business	962	101228	73831
20052	Business travel	Business	3510	85577	114560
14705	Personal Travel	Eco	3382	2717	82225
17160	Personal Travel	Eco	3211	88529	22740
17162	Business travel	Business	3230	91613	57705
28149	Business travel	Business	37	88865	18507
21053	Business travel	Business	18	96960	76629
20811	Business travel	Eco Plus	18	51191	81245
13466	Personal Travel	Eco	247	9461	59336
22006	Business travel	Business	18	66384	113080
12762	Personal Travel	Eco	360	41934	69071
22546	Personal Travel	Eco	324	25381	18003
11758	Business travel	Business	342	14757	91175
