Flight SatisfactionID,accm_txn_complete_time
1,5/19/2022 21:49
2,5/19/2022 8:20
3,5/18/2022 19:19
4,5/19/2022 23:14
5,5/19/2022 11:51
6,5/18/2022 18:10
7,5/19/2022 5:50
8,5/19/2022 23:22
9,5/19/2022 14:06
10,5/18/2022 15:35
11,5/19/2022 19:35
12,5/19/2022 8:19
13,5/18/2022 14:56
14,5/20/2022 9:14
15,5/20/2022 1:08
16,5/19/2022 14:48
17,5/19/2022 9:47
18,5/20/2022 3:05
19,5/19/2022 13:45
20,5/19/2022 5:43
21,5/19/2022 13:05
22,5/20/2022 3:16
23,5/20/2022 9:32
24,5/19/2022 7:23
25,5/20/2022 10:15
26,5/19/2022 21:05
27,5/19/2022 2:49
28,5/20/2022 8:51
29,5/19/2022 1:59
30,5/19/2022 13:32
31,5/20/2022 10:38
32,5/20/2022 0:22
33,5/19/2022 21:49
34,5/18/2022 23:05
35,5/19/2022 9:45
36,5/20/2022 8:00
37,5/18/2022 15:17
38,5/18/2022 17:25
39,5/20/2022 6:10
40,5/20/2022 0:57
41,5/19/2022 10:16
42,5/18/2022 21:59
43,5/18/2022 17:08
44,5/18/2022 17:36
45,5/19/2022 9:12
46,5/20/2022 8:50
47,5/20/2022 4:44
48,5/19/2022 10:28
49,5/18/2022 13:37
50,5/19/2022 21:35
51,5/18/2022 18:22
52,5/19/2022 5:28
53,5/19/2022 2:45
54,5/20/2022 4:31
55,5/19/2022 9:46
56,5/18/2022 13:17
57,5/18/2022 21:52
58,5/19/2022 21:29
59,5/20/2022 10:56
60,5/19/2022 6:16
61,5/20/2022 5:36
62,5/19/2022 10:19
63,5/19/2022 6:16
64,5/20/2022 3:26
65,5/19/2022 23:35
66,5/20/2022 3:49
67,5/19/2022 2:15
68,5/20/2022 7:02
69,5/19/2022 21:17
70,5/18/2022 17:22
71,5/20/2022 7:07
72,5/19/2022 22:01
73,5/20/2022 3:38
74,5/19/2022 3:09
75,5/18/2022 22:28
76,5/18/2022 21:24
77,5/19/2022 0:34
78,5/19/2022 13:45
79,5/19/2022 17:47
80,5/20/2022 2:07
81,5/19/2022 21:38
82,5/18/2022 18:12
83,5/20/2022 4:19
84,5/20/2022 6:21
85,5/19/2022 19:12
86,5/18/2022 19:40
87,5/20/2022 0:06
88,5/20/2022 0:37
89,5/19/2022 15:41
90,5/19/2022 15:37
91,5/19/2022 22:07
92,5/18/2022 21:09
93,5/19/2022 23:01
94,5/18/2022 18:26
95,5/20/2022 11:51
96,5/20/2022 7:39
97,5/19/2022 4:01
98,5/20/2022 2:10
99,5/19/2022 17:44
100,5/19/2022 18:06
101,5/18/2022 14:59
102,5/20/2022 10:23
103,5/20/2022 6:58
104,5/18/2022 19:41
105,5/19/2022 5:01
106,5/19/2022 14:01
107,5/20/2022 4:19
108,5/19/2022 5:18
109,5/19/2022 5:56
110,5/18/2022 19:51
111,5/20/2022 3:18
112,5/18/2022 22:01
113,5/19/2022 6:51
114,5/20/2022 4:00
115,5/18/2022 21:27
116,5/19/2022 20:31
117,5/19/2022 4:36
118,5/18/2022 18:53
119,5/18/2022 22:36
120,5/19/2022 4:06
121,5/20/2022 11:35
122,5/19/2022 17:19
123,5/20/2022 4:33
124,5/19/2022 5:11
125,5/19/2022 15:44
126,5/20/2022 1:05
127,5/19/2022 19:41
128,5/19/2022 17:28
129,5/19/2022 2:02
130,5/18/2022 23:54
131,5/18/2022 17:57
132,5/20/2022 10:03
133,5/18/2022 23:28
134,5/18/2022 13:00
135,5/19/2022 11:49
136,5/18/2022 15:48
137,5/20/2022 7:00
138,5/20/2022 9:41
139,5/18/2022 16:26
140,5/18/2022 22:08
141,5/20/2022 0:44
142,5/18/2022 23:12
143,5/20/2022 0:29
144,5/19/2022 0:52
145,5/20/2022 11:23
146,5/19/2022 16:41
147,5/19/2022 10:47
148,5/20/2022 0:06
149,5/19/2022 4:25
150,5/19/2022 18:00
151,5/20/2022 3:44
152,5/19/2022 4:27
153,5/20/2022 7:03
154,5/19/2022 14:48
